epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7444.63,1.5983,1.20729,0.98146,0.69179,0.58021,0.62587,0.43755,1.54461,1.10587,0.96768,0.000468665,0.000468665,0.000468665
43,7623.14,1.58258,1.18701,0.96912,0.73682,0.55151,0.6243,0.43859,1.55907,1.12722,0.97255,0.000465755,0.000465755,0.000465755
44,7827.47,1.59108,1.19516,0.9692,0.74087,0.55134,0.63146,0.44537,1.54414,1.11496,0.96819,0.000462844,0.000462844,0.000462844
45,7953.51,1.58949,1.17269,0.95951,0.72979,0.5681,0.63984,0.45178,1.53839,1.09272,0.96593,0.000459934,0.000459934,0.000459934
46,8102.3,1.59683,1.17041,0.97252,0.6902,0.6027,0.65115,0.45987,1.52973,1.08242,0.96298,0.000457023,0.000457023,0.000457023
47,8276.58,1.57865,1.1584,0.96366,0.66461,0.60761,0.64221,0.45597,1.51541,1.06299,0.96075,0.000454112,0.000454112,0.000454112
48,8461.23,1.56945,1.14848,0.96423,0.7071,0.58659,0.64613,0.45132,1.53583,1.08297,0.96491,0.000451202,0.000451202,0.000451202
49,8557.79,1.55849,1.13253,0.968,0.72574,0.56143,0.62866,0.44865,1.52636,1.09897,0.96342,0.000448291,0.000448291,0.000448291
50,8678.64,1.56073,1.13826,0.96889,0.69717,0.59659,0.65344,0.45317,1.52966,1.07618,0.96321,0.000445381,0.000445381,0.000445381
51,8877.64,1.54539,1.13346,0.96099,0.76858,0.57039,0.64887,0.46581,1.54501,1.07694,0.96375,0.00044247,0.00044247,0.00044247
52,8993.31,1.55423,1.12731,0.95826,0.71226,0.61369,0.65967,0.46276,1.51576,1.06403,0.95888,0.000439559,0.000439559,0.000439559
53,9272.26,1.56535,1.12528,0.96143,0.7458,0.58798,0.65883,0.46255,1.52251,1.05999,0.95999,0.000436649,0.000436649,0.000436649
54,9388.4,1.56325,1.11238,0.95629,0.75419,0.58414,0.65702,0.46907,1.51254,1.05787,0.95531,0.000433738,0.000433738,0.000433738
55,9620.17,1.52845,1.09912,0.95379,0.72729,0.60574,0.6682,0.4745,1.51645,1.04722,0.95951,0.000430828,0.000430828,0.000430828
56,9868.18,1.54783,1.08691,0.95411,0.74877,0.60258,0.67144,0.48003,1.50418,1.03326,0.95791,0.000427917,0.000427917,0.000427917
57,9938.2,1.53278,1.08411,0.95894,0.77102,0.61716,0.69159,0.49851,1.48738,1.01582,0.95455,0.000425006,0.000425006,0.000425006
58,10076.4,1.51932,1.07043,0.94979,0.73858,0.62701,0.69153,0.49074,1.49284,1.02423,0.95464,0.000422096,0.000422096,0.000422096
59,10270.9,1.51953,1.06894,0.95221,0.75634,0.63361,0.69629,0.50296,1.48103,1.0034,0.94974,0.000419185,0.000419185,0.000419185
60,10399.4,1.55481,1.09098,0.9506,0.79967,0.59677,0.68712,0.4878,1.49581,1.01908,0.95311,0.000416275,0.000416275,0.000416275
61,10478.6,1.50494,1.06775,0.94838,0.77435,0.64153,0.70298,0.50105,1.48775,0.99938,0.95095,0.000413364,0.000413364,0.000413364
62,10652.5,1.52912,1.0582,0.95488,0.74488,0.64228,0.69308,0.49628,1.49007,1.01504,0.95387,0.000410453,0.000410453,0.000410453
63,10939.8,1.54929,1.07142,0.95592,0.7592,0.63562,0.69489,0.49638,1.48763,1.01488,0.95272,0.000407543,0.000407543,0.000407543
64,11018.1,1.51969,1.05336,0.95282,0.75902,0.65015,0.71006,0.50999,1.47521,0.99306,0.9493,0.000404632,0.000404632,0.000404632
65,11265,1.54822,1.07267,0.95237,0.76082,0.64529,0.70063,0.50349,1.47702,0.99778,0.95128,0.000401722,0.000401722,0.000401722
66,11426.8,1.48601,1.03509,0.94895,0.79851,0.63536,0.70126,0.491,1.50252,1.00005,0.95359,0.000398811,0.000398811,0.000398811
67,11644.5,1.53604,1.05252,0.9479,0.78351,0.65277,0.72103,0.51881,1.48231,0.99198,0.94954,0.0003959,0.0003959,0.0003959
68,11868,1.51294,1.0342,0.94798,0.78189,0.65461,0.7078,0.50932,1.47613,0.96798,0.95083,0.00039299,0.00039299,0.00039299
69,12045.6,1.48971,1.03024,0.94157,0.81009,0.6543,0.71783,0.51626,1.46346,0.96126,0.94495,0.000390079,0.000390079,0.000390079
70,12325.8,1.48851,1.02436,0.94253,0.79452,0.66933,0.73183,0.52669,1.45418,0.965,0.946,0.000387169,0.000387169,0.000387169
71,12483,1.50199,1.0266,0.94027,0.82881,0.64666,0.72373,0.52296,1.4651,0.97066,0.94542,0.000384258,0.000384258,0.000384258
72,12662.6,1.49618,1.02753,0.94785,0.78192,0.67705,0.73179,0.52664,1.45614,0.95306,0.94373,0.000381347,0.000381347,0.000381347
73,12916.8,1.49424,1.00867,0.93906,0.77724,0.65946,0.72131,0.51989,1.43731,0.95117,0.93996,0.000378437,0.000378437,0.000378437
74,13029.9,1.4919,1.00674,0.93942,0.8129,0.67165,0.73437,0.52601,1.45384,0.95117,0.94226,0.000375526,0.000375526,0.000375526
75,13250.2,1.48513,1.00084,0.9415,0.8116,0.66838,0.73201,0.52698,1.45573,0.94135,0.94433,0.000372616,0.000372616,0.000372616
76,13447.8,1.48948,1.00304,0.94401,0.79826,0.68247,0.73342,0.52383,1.4576,0.94555,0.94416,0.000369705,0.000369705,0.000369705
77,13562.5,1.49775,1.01262,0.94079,0.80549,0.67995,0.74142,0.54225,1.44509,0.94546,0.94168,0.000366794,0.000366794,0.000366794
78,13815,1.47785,1.00076,0.94049,0.8277,0.66782,0.74083,0.52814,1.47883,0.9489,0.94888,0.000363884,0.000363884,0.000363884
79,13893.6,1.48147,0.99501,0.94147,0.83569,0.66693,0.74023,0.53361,1.46325,0.95308,0.94617,0.000360973,0.000360973,0.000360973
80,14156.9,1.47412,0.99118,0.9371,0.82195,0.66678,0.73758,0.52988,1.46532,0.94556,0.94541,0.000358063,0.000358063,0.000358063
81,14370,1.4858,0.98908,0.93484,0.83883,0.67062,0.74476,0.53752,1.44058,0.92748,0.93974,0.000355152,0.000355152,0.000355152
82,14628.3,1.45496,0.96651,0.93661,0.82437,0.67172,0.74129,0.53593,1.44312,0.92083,0.94053,0.000352241,0.000352241,0.000352241
83,14810.7,1.45276,0.96569,0.93724,0.83154,0.69566,0.76652,0.55116,1.44467,0.9224,0.93993,0.000349331,0.000349331,0.000349331
84,14951.4,1.47563,0.98218,0.93933,0.82997,0.69381,0.76227,0.54642,1.44511,0.92546,0.94089,0.00034642,0.00034642,0.00034642
85,15141.8,1.45861,0.97214,0.93219,0.81768,0.70211,0.76191,0.54853,1.43101,0.91785,0.93765,0.00034351,0.00034351,0.00034351
86,15334.1,1.44804,0.95852,0.93412,0.79458,0.71474,0.75999,0.54554,1.4585,0.92764,0.94136,0.000340599,0.000340599,0.000340599
87,15476.9,1.44117,0.95191,0.92978,0.83291,0.69393,0.76021,0.54148,1.44709,0.91419,0.94079,0.000337688,0.000337688,0.000337688
88,15737.3,1.47606,0.97424,0.93112,0.80325,0.72658,0.76812,0.55552,1.42451,0.88998,0.93374,0.000334778,0.000334778,0.000334778
89,15829.7,1.42402,0.94495,0.9293,0.8268,0.71917,0.77763,0.57012,1.41594,0.89267,0.93342,0.000331867,0.000331867,0.000331867
90,15976.1,1.45877,0.95085,0.93337,0.82849,0.70195,0.76727,0.55845,1.42686,0.89664,0.93564,0.000328957,0.000328957,0.000328957
91,16146.7,1.43944,0.94457,0.92742,0.82916,0.70386,0.77222,0.55975,1.41818,0.90091,0.9314,0.000326046,0.000326046,0.000326046
92,16295.5,1.43293,0.94134,0.92939,0.82325,0.70467,0.76348,0.54582,1.43346,0.89727,0.93786,0.000323135,0.000323135,0.000323135
93,16473.4,1.42312,0.93657,0.92595,0.83796,0.71438,0.77428,0.56247,1.411,0.88819,0.93414,0.000320225,0.000320225,0.000320225
94,16630.2,1.45683,0.95257,0.92612,0.83948,0.71132,0.77406,0.55776,1.4455,0.90051,0.93842,0.000317314,0.000317314,0.000317314
95,16782.9,1.44131,0.92812,0.93428,0.81085,0.73403,0.77525,0.566,1.40366,0.87975,0.93133,0.000314404,0.000314404,0.000314404
96,17024,1.43188,0.92401,0.93075,0.83474,0.70365,0.77277,0.56154,1.42738,0.89654,0.93521,0.000311493,0.000311493,0.000311493
97,17265.6,1.46641,0.94012,0.93302,0.83245,0.72155,0.77541,0.55821,1.43815,0.88984,0.93758,0.000308582,0.000308582,0.000308582
98,17371.9,1.42193,0.91003,0.92868,0.83426,0.72238,0.77943,0.57116,1.40316,0.87525,0.9292,0.000305672,0.000305672,0.000305672
99,17715.6,1.42983,0.92601,0.92627,0.85155,0.71451,0.7791,0.56748,1.4049,0.87664,0.93192,0.000302761,0.000302761,0.000302761
100,17910.8,1.40718,0.9145,0.92452,0.84102,0.72055,0.77792,0.57123,1.40781,0.87621,0.93134,0.000299851,0.000299851,0.000299851
101,17997.9,1.40986,0.91511,0.92233,0.84722,0.70706,0.77022,0.55698,1.43831,0.88097,0.93834,0.00029694,0.00029694,0.00029694
102,18149.8,1.42282,0.91496,0.9261,0.82428,0.72165,0.77942,0.56747,1.4124,0.8702,0.9331,0.000294029,0.000294029,0.000294029
103,18373.5,1.41054,0.9119,0.91943,0.82959,0.72761,0.78383,0.57229,1.40427,0.86022,0.9283,0.000291119,0.000291119,0.000291119
104,18447.7,1.39223,0.91041,0.92163,0.85086,0.71975,0.78455,0.56906,1.405,0.86483,0.93103,0.000288208,0.000288208,0.000288208
105,18653.8,1.43403,0.92255,0.92598,0.81628,0.72398,0.77777,0.5699,1.40341,0.86986,0.93004,0.000285298,0.000285298,0.000285298
106,18777.6,1.41275,0.90388,0.92081,0.83828,0.71686,0.78131,0.57246,1.3957,0.86539,0.9285,0.000282387,0.000282387,0.000282387
107,18976.6,1.40724,0.90337,0.9247,0.8314,0.71577,0.78216,0.5714,1.40402,0.85938,0.93165,0.000279476,0.000279476,0.000279476
108,19194.1,1.42429,0.91547,0.92648,0.83823,0.71409,0.77794,0.57194,1.40668,0.8653,0.93158,0.000276566,0.000276566,0.000276566
109,19414.6,1.40252,0.89153,0.9253,0.84589,0.73634,0.78745,0.57747,1.39575,0.85851,0.92795,0.000273655,0.000273655,0.000273655
110,19603.5,1.39657,0.89131,0.92148,0.84292,0.72109,0.78586,0.57739,1.39476,0.85456,0.92714,0.000270745,0.000270745,0.000270745
111,19746,1.36426,0.86717,0.91546,0.84804,0.72445,0.78778,0.58205,1.39502,0.85566,0.92675,0.000267834,0.000267834,0.000267834
112,19907.7,1.40828,0.89739,0.91986,0.84523,0.73534,0.79465,0.58394,1.39185,0.84105,0.92669,0.000264923,0.000264923,0.000264923
113,20136.4,1.42144,0.89783,0.91692,0.85481,0.73232,0.78395,0.57512,1.41327,0.86306,0.92849,0.000262013,0.000262013,0.000262013
114,20301,1.40197,0.89059,0.91758,0.83878,0.72478,0.78898,0.58182,1.38853,0.85222,0.92591,0.000259102,0.000259102,0.000259102
