epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,31583.3,1.30064,0.79436,0.89994,0.89056,0.76264,0.82504,0.62496,1.32017,0.76372,0.90873,7.8645e-05,7.8645e-05,7.8645e-05
177,31781,1.31154,0.79443,0.9005,0.89261,0.76093,0.82553,0.62186,1.32576,0.76829,0.90989,7.57344e-05,7.57344e-05,7.57344e-05
178,31993.2,1.30546,0.79189,0.89855,0.89025,0.75929,0.82608,0.6219,1.32651,0.77058,0.90971,7.28238e-05,7.28238e-05,7.28238e-05
179,32063.9,1.29176,0.7801,0.89768,0.88835,0.7644,0.82473,0.62706,1.31954,0.76773,0.9084,6.99132e-05,6.99132e-05,6.99132e-05
180,32290.6,1.31874,0.80075,0.90087,0.86184,0.77398,0.82759,0.62458,1.31955,0.7629,0.90799,6.70026e-05,6.70026e-05,6.70026e-05
181,32409.9,1.3096,0.79677,0.90062,0.87354,0.76877,0.82687,0.62386,1.32192,0.76303,0.90899,6.4092e-05,6.4092e-05,6.4092e-05
182,32570.3,1.30248,0.78567,0.89584,0.87638,0.769,0.8246,0.62332,1.32351,0.76406,0.90931,6.11814e-05,6.11814e-05,6.11814e-05
183,32757.4,1.30719,0.78908,0.89819,0.86852,0.7735,0.82411,0.62247,1.32229,0.76375,0.90902,5.82708e-05,5.82708e-05,5.82708e-05
184,32886.2,1.31259,0.78971,0.89661,0.88066,0.76969,0.82733,0.62459,1.31795,0.76242,0.90851,5.53602e-05,5.53602e-05,5.53602e-05
185,33214.6,1.2973,0.79128,0.89389,0.8961,0.76214,0.8269,0.62486,1.32118,0.76078,0.90817,5.24496e-05,5.24496e-05,5.24496e-05
186,33410.7,1.32266,0.79613,0.89743,0.87686,0.76908,0.82915,0.62897,1.31457,0.76013,0.90755,4.9539e-05,4.9539e-05,4.9539e-05
187,33738.8,1.30996,0.78854,0.89573,0.8609,0.77744,0.82921,0.62825,1.32056,0.76343,0.90917,4.66284e-05,4.66284e-05,4.66284e-05
188,33879,1.29692,0.7865,0.89466,0.87372,0.77279,0.8271,0.62493,1.32003,0.76121,0.90849,4.37178e-05,4.37178e-05,4.37178e-05
189,34062.2,1.29145,0.77989,0.89605,0.87425,0.77807,0.82844,0.62843,1.31264,0.75913,0.90697,4.08072e-05,4.08072e-05,4.08072e-05
190,34344.3,1.30991,0.78937,0.901,0.87475,0.77006,0.82834,0.62821,1.31258,0.75761,0.90719,3.78966e-05,3.78966e-05,3.78966e-05
191,34435.8,1.31102,0.78962,0.89994,0.86957,0.7559,0.81931,0.6166,1.33434,0.77951,0.91353,3.4986e-05,3.4986e-05,3.4986e-05
192,34499.6,1.29105,0.77896,0.89732,0.85347,0.76578,0.8146,0.61069,1.33888,0.78284,0.91444,3.20754e-05,3.20754e-05,3.20754e-05
193,34564.3,1.30805,0.77995,0.89865,0.85277,0.77164,0.81794,0.61658,1.33379,0.77337,0.91172,2.91648e-05,2.91648e-05,2.91648e-05
194,34628.9,1.29917,0.77847,0.89607,0.87286,0.76595,0.82398,0.61923,1.33465,0.77416,0.91182,2.62542e-05,2.62542e-05,2.62542e-05
195,34692.4,1.30354,0.77698,0.89852,0.87523,0.76585,0.82535,0.62347,1.32897,0.77312,0.91095,2.33436e-05,2.33436e-05,2.33436e-05
196,34756.7,1.29322,0.76981,0.89429,0.8825,0.75708,0.82283,0.619,1.33196,0.77499,0.91125,2.0433e-05,2.0433e-05,2.0433e-05
197,34821.5,1.30041,0.77445,0.89455,0.88227,0.75737,0.82341,0.61956,1.33101,0.7711,0.91042,1.75224e-05,1.75224e-05,1.75224e-05
198,34885.1,1.28699,0.76879,0.89155,0.86935,0.76119,0.82082,0.61756,1.33316,0.77251,0.91095,1.46118e-05,1.46118e-05,1.46118e-05
199,34950.2,1.27925,0.76497,0.89225,0.86881,0.7631,0.82178,0.61821,1.3298,0.77147,0.91057,1.17012e-05,1.17012e-05,1.17012e-05
200,35014.6,1.27937,0.7552,0.89425,0.86743,0.76615,0.82316,0.61957,1.33259,0.7748,0.91124,8.7906e-06,8.7906e-06,8.7906e-06
